model,measure,feature,value,share
ridge_change,abs_coef,prev_1m_closing_balance_usd,24.251560044993376,12.3381457503034
ridge_change,abs_coef,roll3_mean_net_flow_usd,23.757762454959497,12.086922875334402
ridge_change,abs_coef,roll3_mean_closing_balance_usd,21.166373142908213,10.768535976984419
ridge_change,abs_coef,prev_2m_closing_balance_usd,18.9493391122872,9.640604868534682
ridge_change,abs_coef,prev_3m_closing_balance_usd,17.972386747713017,9.143573723203962
ridge_change,abs_coef,prev_1m_net_flow_usd,17.8961966020485,9.104811469550935
ridge_change,abs_coef,delta_prev_1m_2m_closing_balance_usd,15.098740416017549,7.681586650640232
ridge_change,abs_coef,prev_1m_spend_cash_atm_usd,9.45184704062796,4.8086913246192164
ridge_change,abs_coef,days_in_month,8.712449238613235,4.432517675097852
ridge_change,abs_coef,prev_1m_distinct_merchants,5.7179131190571635,2.9090271025704024
ridge_change,abs_coef,roll3_mean_total_credited_usd,5.05834097881188,2.5734653001920065
ridge_change,abs_coef,prev_1m_total_credited_usd,4.479380669674692,2.2789153139427696
ridge_change,abs_coef,prev_1m_spend_bills_usd,3.923875896736639,1.9962984909102304
ridge_change,abs_coef,prev_1m_spend_transport_usd,3.460978071206418,1.760796080826329
ridge_change,abs_coef,prev_1m_spend_other_usd,3.4299804108992604,1.7450258107868535
ridge_change,abs_coef,prev_1m_spend_retail_usd,2.4766396177826717,1.2600072126694668
ridge_change,abs_coef,month_of_year,2.4331312197465924,1.2378720199092723
ridge_change,abs_coef,prev_1m_total_debited_usd,2.3375787639600247,1.189259059583964
ridge_change,abs_coef,roll3_std_closing_balance_usd,1.7896497075071072,0.9104964337240257
ridge_change,abs_coef,prev_1m_txn_count,1.0963808557096375,0.5577912006687802
ridge_change,abs_coef,prev_1m_spend_dining_usd,1.0195009633051522,0.5186780336809926
ridge_change,abs_coef,accounts_held,0.7218886990505914,0.36726577456702075
ridge_change,abs_coef,roll3_mean_total_debited_usd,0.6251005820191338,0.3180241631978552
ridge_change,abs_coef,prev_1m_total_spend_usd,0.539609199360375,0.27452984210338666
ridge_change,abs_coef,prev_1m_spend_groceries_usd,0.19097110647231658,0.09715784639753863
xgboost_change,total_gain,prev_1m_distinct_merchants,3758658048.0,27.4045681428968
xgboost_change,total_gain,roll3_mean_net_flow_usd,3191655680.0,23.270524866651456
xgboost_change,total_gain,prev_1m_txn_count,1700982528.0,12.401950643862579
xgboost_change,total_gain,roll3_mean_total_debited_usd,755219328.0,5.506342761885832
xgboost_change,total_gain,roll3_std_closing_balance_usd,558669056.0,4.073284672072363
xgboost_change,total_gain,prev_1m_total_spend_usd,528651072.0,3.8544220148327373
xgboost_change,total_gain,roll3_mean_closing_balance_usd,508512320.0,3.7075893435844005
xgboost_change,total_gain,prev_1m_total_credited_usd,400111360.0,2.917232397797288
xgboost_change,total_gain,delta_prev_1m_2m_closing_balance_usd,381940928.0,2.7847508483797143
xgboost_change,total_gain,roll3_mean_total_credited_usd,342948544.0,2.500455381557296
xgboost_change,total_gain,prev_3m_closing_balance_usd,324784032.0,2.368016995162624
xgboost_change,total_gain,month_of_year,291511168.0,2.125422841304301
xgboost_change,total_gain,prev_1m_spend_cash_atm_usd,278062496.0,2.0273678856395847
xgboost_change,total_gain,prev_1m_net_flow_usd,265925568.0,1.9388769225953637
xgboost_change,total_gain,prev_2m_closing_balance_usd,204941504.0,1.4942389916699752
xgboost_change,total_gain,prev_1m_total_debited_usd,148931072.0,1.0858640661366887
xgboost_change,total_gain,prev_1m_spend_groceries_usd,73938752.0,0.539091223970994
xgboost_change,total_gain,prev_1m_closing_balance_usd,0.0,0.0
xgboost_change,total_gain,accounts_held,0.0,0.0
xgboost_change,total_gain,days_in_month,0.0,0.0
xgboost_change,total_gain,prev_1m_spend_dining_usd,0.0,0.0
xgboost_change,total_gain,prev_1m_spend_retail_usd,0.0,0.0
xgboost_change,total_gain,prev_1m_spend_transport_usd,0.0,0.0
xgboost_change,total_gain,prev_1m_spend_bills_usd,0.0,0.0
xgboost_change,total_gain,prev_1m_spend_other_usd,0.0,0.0
xgboost_change,weight,roll3_mean_net_flow_usd,6.0,
xgboost_change,weight,prev_1m_distinct_merchants,3.0,
xgboost_change,weight,prev_1m_txn_count,2.0,
xgboost_change,weight,roll3_mean_closing_balance_usd,2.0,
xgboost_change,weight,roll3_std_closing_balance_usd,2.0,
xgboost_change,weight,roll3_mean_total_debited_usd,2.0,
xgboost_change,weight,delta_prev_1m_2m_closing_balance_usd,1.0,
xgboost_change,weight,prev_3m_closing_balance_usd,1.0,
xgboost_change,weight,prev_2m_closing_balance_usd,1.0,
xgboost_change,weight,prev_1m_spend_cash_atm_usd,1.0,
xgboost_change,weight,prev_1m_net_flow_usd,1.0,
xgboost_change,weight,prev_1m_total_credited_usd,1.0,
xgboost_change,weight,prev_1m_total_debited_usd,1.0,
xgboost_change,weight,roll3_mean_total_credited_usd,1.0,
xgboost_change,weight,month_of_year,1.0,
xgboost_change,weight,prev_1m_spend_groceries_usd,1.0,
xgboost_change,weight,prev_1m_total_spend_usd,1.0,
xgboost_change,weight,prev_1m_closing_balance_usd,0.0,
xgboost_change,weight,accounts_held,0.0,
xgboost_change,weight,days_in_month,0.0,
xgboost_change,weight,prev_1m_spend_dining_usd,0.0,
xgboost_change,weight,prev_1m_spend_retail_usd,0.0,
xgboost_change,weight,prev_1m_spend_transport_usd,0.0,
xgboost_change,weight,prev_1m_spend_bills_usd,0.0,
xgboost_change,weight,prev_1m_spend_other_usd,0.0,
xgboost_change,cover,prev_1m_distinct_merchants,3589.414794921875,
xgboost_change,cover,prev_1m_txn_count,3064.158203125,
xgboost_change,cover,delta_prev_1m_2m_closing_balance_usd,2640.809814453125,
xgboost_change,cover,prev_1m_spend_cash_atm_usd,2633.89013671875,
xgboost_change,cover,month_of_year,2619.346435546875,
xgboost_change,cover,prev_1m_total_spend_usd,2617.4248046875,
xgboost_change,cover,prev_1m_total_credited_usd,2556.3779296875,
