model,measure,feature,value,share
ridge_change,abs_coef,ratio_credited_to_debited,14164.807393562423,32.12996895655298
ridge_change,abs_coef,growth_3,3896.548812155203,8.838524160175925
ridge_change,abs_coef,share_spend_retail,3161.3006558004076,7.170764071198032
ridge_change,abs_coef,share_spend_cash_atm,2889.7604925243363,6.554830739094793
ridge_change,abs_coef,ratio_net_flow_to_roll3,2503.4958071941883,5.67866828916902
ridge_change,abs_coef,avg_debit_per_txn,2258.6611553817,5.123310948708545
ridge_change,abs_coef,prev_3m_closing_balance_usd,1642.7796125555983,3.7263096127842807
ridge_change,abs_coef,spend_to_balance,1572.854855059275,3.5676995995854828
ridge_change,abs_coef,prev_1m_txn_count,1547.792719257333,3.510851269570965
ridge_change,abs_coef,prev_2m_closing_balance_usd,1463.2878534536926,3.319169262219237
ridge_change,abs_coef,share_spend_transport,1342.947512995466,3.046201808747114
ridge_change,abs_coef,month_cos,872.2036879558069,1.978415705853318
ridge_change,abs_coef,prev_1m_distinct_merchants,820.3055523893255,1.8606953981693701
ridge_change,abs_coef,prev_1m_closing_balance_usd,756.5084771742,1.715984779152239
ridge_change,abs_coef,cv_balance_roll3,701.7904546267897,1.5918681345015484
ridge_change,abs_coef,mom_growth_1_2,676.536325024151,1.5345843058116986
ridge_change,abs_coef,net_flow_to_balance,661.9009323523991,1.5013869103833597
ridge_change,abs_coef,month_sin,656.9934984694908,1.490255400159942
ridge_change,abs_coef,share_spend_bills,598.210916346555,1.3569191332895352
ridge_change,abs_coef,mom_growth_2_3,571.7289965158039,1.2968503135427412
ridge_change,abs_coef,accounts_held,558.4766360129804,1.2667900437680681
ridge_change,abs_coef,share_spend_groceries,326.15856710310294,0.7398240120581642
ridge_change,abs_coef,share_spend_dining,275.4460188458231,0.6247929667398483
ridge_change,abs_coef,share_spend_other,98.22615973619156,0.22280595671774397
ridge_change,abs_coef,ratio_balance_to_roll3,67.24354107799356,0.15252822204603644
xgboost_change,total_gain,prev_1m_txn_count,1803177984.0,9.84740226707898
xgboost_change,total_gain,prev_1m_closing_balance_usd,1720858752.0,9.397845651473695
xgboost_change,total_gain,prev_3m_closing_balance_usd,1610992256.0,8.797849649200842
xgboost_change,total_gain,spend_to_balance,1478466560.0,8.0741086481369
xgboost_change,total_gain,avg_debit_per_txn,1347363712.0,7.35813801513714
xgboost_change,total_gain,ratio_balance_to_roll3,1094259712.0,5.975902359243751
xgboost_change,total_gain,share_spend_groceries,1050071488.0,5.734584407795319
xgboost_change,total_gain,ratio_credited_to_debited,985705664.0,5.383073815494295
xgboost_change,total_gain,prev_2m_closing_balance_usd,896114048.0,4.893801713495478
xgboost_change,total_gain,prev_1m_distinct_merchants,753637440.0,4.115717417283861
xgboost_change,total_gain,mom_growth_1_2,726323392.0,3.9665516551766498
xgboost_change,total_gain,share_spend_other,634556160.0,3.4653982158274466
xgboost_change,total_gain,share_spend_retail,629446848.0,3.437495562279956
xgboost_change,total_gain,share_spend_bills,620190208.0,3.3869437817400634
xgboost_change,total_gain,month_cos,550331072.0,3.005433459227952
xgboost_change,total_gain,ratio_net_flow_to_roll3,478716288.0,2.6143353022098754
xgboost_change,total_gain,share_spend_transport,320281408.0,1.7491006940124927
xgboost_change,total_gain,cv_balance_roll3,303239200.0,1.6560308588745591
xgboost_change,total_gain,growth_3,246910848.0,1.3484140034628957
xgboost_change,total_gain,share_spend_dining,226865888.0,1.238945727841188
xgboost_change,total_gain,accounts_held,206199040.0,1.1260812365627846
xgboost_change,total_gain,month_sin,177001280.0,0.9666282648822986
xgboost_change,total_gain,mom_growth_2_3,173838272.0,0.9493546444042499
xgboost_change,total_gain,net_flow_to_balance,166344064.0,0.9084277467247132
xgboost_change,total_gain,share_spend_cash_atm,110313088.0,0.602434902432617
xgboost_change,weight,ratio_balance_to_roll3,13.0,
xgboost_change,weight,avg_debit_per_txn,12.0,
xgboost_change,weight,prev_1m_closing_balance_usd,12.0,
xgboost_change,weight,prev_3m_closing_balance_usd,11.0,
xgboost_change,weight,mom_growth_1_2,10.0,
